Algorithm,N,Milliseconds,Elements,Time per element,u-sec
LinkedList,5,0,32,0,0
LinkedList,6,0,64,0,0
LinkedList,7,0,128,0,0
LinkedList,8,0,256,0,0
LinkedList,9,0,512,0,0
LinkedList,10,0,1024,0,0
LinkedList,11,0,2048,0,0
LinkedList,12,0,4096,0,0
LinkedList,13,0,8192,0,0
LinkedList,14,0,16384,0,0
LinkedList,15,0,32768,0,0
LinkedList,16,0,65536,0,0
LinkedList,17,0,131072,0,0
LinkedList,18,1,262144,3.8147E-06,3.814697266
LinkedList,19,2,524288,3.8147E-06,3.814697266
LinkedList,20,4,1048576,3.8147E-06,3.814697266
LinkedList,21,7,2097152,3.33786E-06,3.337860107
LinkedList,22,15,4194304,3.57628E-06,3.576278687
LinkedList,23,30,8388608,3.57628E-06,3.576278687
LinkedList,24,60,16777216,3.57628E-06,3.576278687
LinkedList,25,122,33554432,3.63588E-06,3.635883331
Sequential,5,0,32,0,0
Sequential,6,0,64,0,0
Sequential,7,0,128,0,0
Sequential,8,0,256,0,0
Sequential,9,0,512,0,0
Sequential,10,0,1024,0,0
Sequential,11,0,2048,0,0
Sequential,12,0,4096,0,0
Sequential,13,0,8192,0,0
Sequential,14,0,16384,0,0
Sequential,15,0,32768,0,0
Sequential,16,0,65536,0,0
Sequential,17,0,131072,0,0
Sequential,18,0,262144,0,0
Sequential,19,1,524288,1.90735E-06,1.907348633
Sequential,20,1,1048576,9.53674E-07,0.953674316
Sequential,21,3,2097152,1.43051E-06,1.430511475
Sequential,22,7,4194304,1.66893E-06,1.668930054
Sequential,23,13,8388608,1.54972E-06,1.549720764
Sequential,24,28,16777216,1.66893E-06,1.668930054
Sequential,25,58,33554432,1.72853E-06,1.728534698
Random,5,0,32,0,0
Random,6,0,64,0,0
Random,7,0,128,0,0
Random,8,0,256,0,0
Random,9,0,512,0,0
Random,10,0,1024,0,0
Random,11,0,2048,0,0
Random,12,0,4096,0,0
Random,13,0,8192,0,0
Random,14,0,16384,0,0
Random,15,0,32768,0,0
Random,16,0,65536,0,0
Random,17,1,131072,7.62939E-06,7.629394531
Random,18,3,262144,1.14441E-05,11.4440918
Random,19,8,524288,1.52588E-05,15.25878906
Random,20,21,1048576,2.00272E-05,20.02716064
Random,21,78,2097152,3.71933E-05,37.19329834
Random,22,253,4194304,6.03199E-05,60.31990051
Random,23,602,8388608,7.1764E-05,71.76399231
Random,24,1360,16777216,8.10623E-05,81.06231689
Random,25,2992,33554432,8.91685E-05,89.16854858
Stride2,5,0,32,0,0
Stride2,6,0,64,0,0
Stride2,7,0,128,0,0
Stride2,8,0,256,0,0
Stride2,9,0,512,0,0
Stride2,10,0,1024,0,0
Stride2,11,0,2048,0,0
Stride2,12,0,4096,0,0
Stride2,13,0,8192,0,0
Stride2,14,0,16384,0,0
Stride2,15,0,32768,0,0
Stride2,16,0,65536,0,0
Stride2,17,0,131072,0,0
Stride2,18,0,262144,0,0
Stride2,19,1,524288,1.90735E-06,1.907348633
Stride2,20,1,1048576,9.53674E-07,0.953674316
Stride2,21,3,2097152,1.43051E-06,1.430511475
Stride2,22,7,4194304,1.66893E-06,1.668930054
Stride2,23,13,8388608,1.54972E-06,1.549720764
Stride2,24,27,16777216,1.60933E-06,1.609325409
Stride2,25,55,33554432,1.63913E-06,1.639127731
Stride4,5,0,32,0,0
Stride4,6,0,64,0,0
Stride4,7,0,128,0,0
Stride4,8,0,256,0,0
Stride4,9,0,512,0,0
Stride4,10,0,1024,0,0
Stride4,11,0,2048,0,0
Stride4,12,0,4096,0,0
Stride4,13,0,8192,0,0
Stride4,14,0,16384,0,0
Stride4,15,0,32768,0,0
Stride4,16,0,65536,0,0
Stride4,17,0,131072,0,0
Stride4,18,0,262144,0,0
Stride4,19,1,524288,1.90735E-06,1.907348633
Stride4,20,1,1048576,9.53674E-07,0.953674316
Stride4,21,4,2097152,1.90735E-06,1.907348633
Stride4,22,9,4194304,2.14577E-06,2.145767212
Stride4,23,19,8388608,2.26498E-06,2.264976501
Stride4,24,38,16777216,2.26498E-06,2.264976501
Stride4,25,75,33554432,2.23517E-06,2.235174179
